,instrumentToken,instrumentName,name,lastPrice,expiry,strike,tickSize,lotSize,instrumentType,segment,exchange,isin,multiplier,exchangeToken,optionType
219,39000,BANKNIFTY,,3927.4,11NOV21,43100.0,0.05,25,OI,FO,NSE,,1,50280,PE
220,39003,BANKNIFTY,,4.9,11NOV21,43200.0,0.05,25,OI,FO,NSE,,1,50281,CE
221,39004,BANKNIFTY,,4226.7,11NOV21,43200.0,0.05,25,OI,FO,NSE,,1,50282,PE
222,39007,BANKNIFTY,,4.8,11NOV21,43300.0,0.05,25,OI,FO,NSE,,1,50283,CE
223,39008,BANKNIFTY,,4300.3,11NOV21,43300.0,0.05,25,OI,FO,NSE,,1,50284,PE
224,18273,BANKNIFTY,,4.7,11NOV21,43400.0,0.05,25,OI,FO,NSE,,1,36380,CE
225,18274,BANKNIFTY,,3987.95,11NOV21,43400.0,0.05,25,OI,FO,NSE,,1,36381,PE
226,18277,BANKNIFTY,,4.35,11NOV21,43500.0,0.05,25,OI,FO,NSE,,1,36555,CE
227,18278,BANKNIFTY,,3969.1,11NOV21,43500.0,0.05,25,OI,FO,NSE,,1,36556,PE
228,18279,BANKNIFTY,,4.35,11NOV21,43600.0,0.05,25,OI,FO,NSE,,1,36557,CE
229,18318,BANKNIFTY,,4053.5,11NOV21,43600.0,0.05,25,OI,FO,NSE,,1,36560,PE
230,18319,BANKNIFTY,,4.35,11NOV21,43700.0,0.05,25,OI,FO,NSE,,1,36561,CE
231,18330,BANKNIFTY,,4805.75,11NOV21,43700.0,0.05,25,OI,FO,NSE,,1,36562,PE
232,43883,BANKNIFTY,,4.4,11NOV21,43800.0,0.05,25,OI,FO,NSE,,1,62508,CE
233,43884,BANKNIFTY,,4909.4,11NOV21,43800.0,0.05,25,OI,FO,NSE,,1,62509,PE
234,43885,BANKNIFTY,,4.15,11NOV21,43900.0,0.05,25,OI,FO,NSE,,1,62510,CE
235,43886,BANKNIFTY,,5013.55,11NOV21,43900.0,0.05,25,OI,FO,NSE,,1,62511,PE
236,43887,BANKNIFTY,,4.1,11NOV21,44000.0,0.05,25,OI,FO,NSE,,1,62512,CE
237,43888,BANKNIFTY,,4068.0,11NOV21,44000.0,0.05,25,OI,FO,NSE,,1,62513,PE
238,38351,BANKNIFTY,,4.25,11NOV21,44100.0,0.05,25,OI,FO,NSE,,1,35218,CE
239,38352,BANKNIFTY,,3863.5,11NOV21,44100.0,0.05,25,OI,FO,NSE,,1,35219,PE
240,38353,BANKNIFTY,,4.55,11NOV21,44200.0,0.05,25,OI,FO,NSE,,1,36212,CE
